Title,Genre,Director,Actors
apoorva raagangal,"drama, romance",k. balachander,"kamal haasan, srividya, jayasudha, nagesh"
pammal k. sambandam,"comedy, musical",mouli,"kamal haasan, simran, abbas, sneha"
thenali,"comedy, drama",k.s. ravikumar,"kamal haasan, jayaram, jyotika, devayani"
kaathala kaathala,"comedy, drama, romance",singeetam srinivasa rao,"kamal haasan, prabhu deva, soundarya, rambha"
punnagai mannan,"comedy, drama, romance",k. balachander,"kamal haasan, revathi, rekha, srividya"
thoongaavanam,"action, thriller",rajesh m. selva,"kamal haasan, prakash raj, trisha krishnan, kishore kumar g."
uttama villain,"comedy, drama",ramesh aravind,"kamal haasan, k. balachander, k. viswanath, nassar"
indrudu chandrudu,"comedy, drama",suresh krishna,"kamal haasan, vijayshanti, charan raj, narayana p.l."
nammavar,drama,k.s. sethumadhavan,"kamal haasan, gautami, nagesh, karan"
singaaravelan,comedy,r.v. udhaya kumar,"kamal haasan, kushboo, goundamani, jaishankar"
magalir mattum,"comedy, drama, thriller",singeetam srinivasa rao,"revathi, urvashi, rohini, nassar"
vikram,"action, adventure, sci-fi",rajasekar,"kamal haasan, sathyaraj, ambika, santhana bharathi"
guru,"action, crime, drama",i.v. sasi,"kamal haasan, sridevi, y.g. mahendran, mohan babu"
vishwaroopam 2,"action, thriller",kamal haasan,"kamal haasan, rahul bose, shekhar kapur, pooja kumar"
thulluvadho ilamai,drama,k. selvaraghavan,"abhinay, dhanush, gangeshwari, ramesh khanna"
kaadhal konden,"drama, musical, thriller",k. selvaraghavan,"dhanush, sonia agarwal, sudip, daniel balaji"
thiruda thirudi,"comedy, romance",subramaniam siva,"dhanush, chaya singh, karunas, manikya vinayakam"
puthukkottaielerenthu saravanan,"action, adventure, romance",s.s. stanley,"dhanush, peter hein, karunas, mayoori"
sullan,"action, crime, drama",ramana,"dhanush, manivannan, pasupathy, sanghavi"
dreams,drama,kasthuri raja,"brahmanandam, dhanush, chandreyi ghosh, niraj"
devathayai kanden,drama,boopathy pandian,"dhanush, sridevi vijaykumar"
athu oru kanaa kaalam,romance,balu mahendra,"amarasigamani, dhanush, priyamani"
pudhu pettai,"action, crime, drama",k. selvaraghavan,"dhanush, sneha, sonia agarwal, azhagam perumal"
thiruvilaiyaadal aarambam,drama,boopathy pandian,"dhanush, ilavarasu, kannaiyan, karunas"
parattai engira azhagu sundaram,action,suresh krishna,"archana, dhanush, meera jasmine, nassar"
polladhavan,action,vetrimaaran,"dhanush, ramya, kishore kumar g., karunas"
yaaradi nee mohini,"drama, romance",mithran jawahar,"dhanush, nayanthara, karthik kumar, saranya mohan"
kutty,"action, drama, romance",mithran jawahar,"vincent ashokan, swati bhatia, sammir dattani, dhanush"
uthama puthiran,"comedy, romance",mithran jawahar,"dhanush, genelia d'souza, vivek, ashish vidyarthi"
aadukalam,"action, drama, sport",vetrimaaran,"dhanush, taapsee pannu, jayabalan, kishore kumar g."
mappillai,action,suraj,"dhanush, hansika motwani, manisha koirala, vivek"
venghai,"action, drama",hari,"dhanush, tamannaah bhatia, raj kiran, prakash raj"
mayakkam enna,"drama, romance",k. selvaraghavan,"dhanush, richa langella, sunder ramu, mathivanan rajendran"
3,"drama, mystery, romance",aishwarya dhanush,"dhanush, shruti haasan, prabhu, bhanupriya"
raanjhanaa,"drama, romance",aanand l. rai,"dhanush, sonam kapoor, mohammed zeeshan ayyub, swara bhaskar"
maryan,"adventure, drama, romance",ganapathy bharat,"dhanush, parvathy thiruvothu, salim kumar, appukutty"
naiyaandi,"comedy, romance",a. sarkunam,"dhanush, nazriya nazim, vamsi krishna, sathyan"
velaiilla pattadhari,"action, comedy, drama",velraj,"dhanush, saranya ponvannan, amala paul, samuthirakani"
shamitabh,drama,r. balki,"amitabh bachchan, dhanush, akshara haasan, abhinaya"
anegan,"action, romance, thriller",k.v. anand,"dhanush, karthik, amyra dastur, aishwarya devan"
maari,"action, comedy, drama",balaji mohan,"dhanush, kajal aggarwal, vijay yesudas, robo shankar"
thanga magan,"action, drama, romance",velraj,"dhanush, samantha ruth prabhu, amy jackson, k.s. ravikumar"
thodari,"action, thriller",prabu solomon,"dhanush, keerthy suresh, ganesh venkatraman, imman annachi"
kodi,"action, drama, thriller",r.s. durai senthilkumar,"dhanush, trisha krishnan, anupama parameshwaran, saranya ponvannan"
power paandi,"action, drama, family",dhanush,"dhanush, dheena, divyadarshini, delhi ganesh"
velaiyilla pattathari 2,"action, comedy",soundarya r. ashwin,"riaz ahmed, karrthik ahuja, bhai amma, rj ananthi"
the extraordinary journey of the fakir,"adventure, comedy, drama",ken scott,"dhanush, bérénice bejo, erin moriarty, barkhad abdi"
vada chennai,"action, crime",vetrimaaran,"dhanush, ameer sultan, radha ravi, daniel balaji"
maari 2,"action, comedy",balaji mohan,"dhanush, kreshna, sai pallavi, varalaxmi sarathkumar"
asuran,"action, drama",vetrimaaran,"dhanush, manju warrier, prakash raj, pasupathy"
thoota,"action, drama, romance",gautham vasudev menon,"dhanush, megha akash, m. sasikumar, senthil veeraasamy"
pattas,"action, drama",r.s. durai senthilkumar,"dhanush, sneha, mehreen pirzada, naveen chandra"
meera,musical,p.c. sreeram,"aishwarya, delhi ganesh, janakaraj, venniradai moorthy"
pudhiya mannargal,drama,vikraman,"mohini, vikram"
house full,thriller,parthiban,"parthiban, vadivelu, roja, suvalakshmi"
sethu,"action, drama, romance",bala,"vikram, abitha, sivakumar, sriman"
dhill,"action, drama",dharani,"vikram, laila, ashish vidyarthi, nassar"
kasi,drama,vinayan,"vikram, kavya madhavan, kaveri, manivannan"
gemini,"action, comedy, crime",saran,"vikram, kiran rathod, kalabhavan mani, murali"
samurai,"action, drama, musical",balaji sakthivel,"vikram, jayaseel, nassar, vadivukkarasi"
dhool,"action, drama",dharani,"vikram, jyotika, reema sen, sayaji shinde"
kadhal sadugudu,"action, drama",v.z. dhorai,"vikram, priyanka upendra, prakash raj, alphonsa"
saamy,"action, drama",hari,"vikram, trisha krishnan, srinivasa rao kota, vivek"
arul,action,hari,"vikram, jyotika, pasupathy, vadivelu"
anniyan,"action, drama, thriller",s. shankar,"vikram, sada, prakash raj, vivek"
maja,"action, comedy, romance",shafi,"vikram, asin thottumkal, pasupathy, anu prabhakar"
bheemaa,action,n. linguswamy,"vikram, trisha krishnan, prakash raj, raghuvaran"
kanthaswamy,action,susi ganesan,"vikram, shriya saran, prabhu, ashish vidyarthi"
raavanan,"action, adventure, drama",mani ratnam,"vikram, aishwarya rai bachchan, prithviraj sukumaran, priyamani"
deiva thirumagal,"drama, family, musical",a.l. vijay,"vikram, anushka shetty, amala paul, nassar"
rajapattai,"action, comedy",suseenthiran,"vikram, deeksha seth, k. viswanath, pradeep singh rawat"
thaandavam,"action, thriller",a.l. vijay,"vikram, jagapathi babu, anushka shetty, amy jackson"
david,"action, crime, drama",bejoy nambiar,"vikram, neil nitin mukesh, vinay virmani, tabu"
i,"action, drama, thriller",s. shankar,"vikram, amy jackson, suresh gopi, upen patel"
10,"action, thriller",vijay milton,"vikram, samantha ruth prabhu, pasupathy, rahul dev"
inkokkadu,"action, sci-fi, thriller",anand shankar,"vikram, nayanthara, nithya menon, thambi ramaiah"
sketch,action,vijay chandar,"vikram, tamannaah bhatia, sriman, soori"
saamy 2,action,hari,"vikram, keerthy suresh, aishwarya rajesh, prabhu"
kadaram kondan,"action, thriller",rajesh m. selva,"vikram, akshara haasan, abi hassan, lena"
velaikkaran,"action, thriller",mohan raja,"sivakarthikeyan, fahadh faasil, nayanthara, prakash raj"
ethir neechal,"comedy, romance, sport",r.s. durai senthilkumar,"sivakarthikeyan, priya anand, nandita shwetha, sharath lohitashwa"
varuthapadatha valibar sangam,"comedy, romance",ponram,"sivakarthikeyan, sathyaraj, sri divya, soori"
rajini murugan,"action, comedy",ponram,"sivakarthikeyan, raj kiran, keerthy suresh, soori"
remo,"comedy, romance",bakkiyaraj kannan,"yogi babu, sri divya, kalyani n., aadukalam naren"
kadhalan,"action, drama, romance",s. shankar,"prabhu deva, nagma, vadivelu, s.p. balasubrahmanyam"
mudhalvan,"action, drama, thriller",s. shankar,"arjun sarja, manisha koirala, raghuvaran, vadivelu"
jeans,"comedy, drama, romance",s. shankar,"prashanth, aishwarya rai bachchan, nassar, senthil"
minsaara kanavu,"comedy, drama, musical",rajiv menon,"arvind swamy, prabhu deva, kajol, nassar"
thulladha manamum thullum,"drama, romance",ezhil,"joseph vijay, simran, dhamu, vaiyapuri"
taj mahal,romance,bharathiraja,"manoj bharatiraaja, riya sen, radhika sarathkumar, revathi"
kadhal desam,"comedy, drama, romance",kathir,"abbas, s.p. balasubrahmanyam, chaplin balu, chinnijayanth"
kadhalar dinam,"drama, musical, romance",kathir,"kunal, sonali bendre, nassar, goundamani"
bombay,"drama, musical, romance",mani ratnam,"arvind swamy, manisha koirala, nassar, kitty"
dil se..,"drama, romance",mani ratnam,"shah rukh khan, manisha koirala, preity zinta, raghuvir yadav"
ratchakan,"action, romance",praveenkanth,"nagarjuna akkineni, sushmita sen, girish karnad, s.p. balasubrahmanyam"
sangamam,"drama, music",suresh krishna,"rahman, vindhya, manivannan, vijayakumar"
veerapandiya kattabomman,"biography, drama, history",b. ramakrishnaiah panthulu,"shivaji ganesan, gemini ganesan, padmini, varalakshmi s."
bale pandiya,"comedy, romance",b. ramakrishnaiah panthulu,"shivaji ganesan, m.r. radha, devika, k. balaji"
karnan,"action, drama, history",b. ramakrishnaiah panthulu,"shivaji ganesan, taraka rama rao nandamuri, s.a. ashokan, r. muthuraman"
kadalikka neramillai,"comedy, romance",c.v. sridhar,"t.s. balaiah, kanchana, r. muthuraman, nagesh"
enga veetu pillai,"action, comedy, drama",tapi chanakya,"saroja devi b., nagesh, m.n. nambiar, pandharibai"
ayirathil oruvan,"action, adventure",b. ramakrishnaiah panthulu,"jayalalitha j, r.s. manohar, nagesh, m.n. nambiar"
thiruvilayadal,"drama, family, musical",a.p. nagarajan,"shivaji ganesan, savitri, nagesh, balaiya"
anbe vaa,"comedy, romance",a.c. trilogchander,"m.g. ramachandran, saroja devi b., nagesh, aachi manorama"
